                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79288,                 1.5488,                 1.4557,                 1.0069,                0.93365,                0.50665,                0.95037,                0.75102,                0.92293,                 0.4954,                0.93608,                0.68265,                0.63384,                0.66502,                 1.9873,                0.94817,             0.00054685,             0.00054685,             0.00054685
                      2,                0.60834,                0.81405,                 0.6582,                0.90743,                0.95862,                0.94405,                0.99233,                0.83962,                0.96053,                0.94609,                0.99248,                0.73748,                0.51996,                0.55823,                0.72382,                0.89856,              0.0010807,              0.0010807,              0.0010807
                      3,                0.58924,                0.75143,                0.58716,                0.90808,                0.93544,                0.94577,                0.97447,                0.78531,                0.93989,                0.94555,                0.97974,                0.73158,                0.54906,                0.57042,                0.70745,                0.91772,              0.0015925,              0.0015925,              0.0015925
                      4,                0.59847,                 0.7462,                0.54458,                0.90577,                0.96246,                0.96665,                0.98962,                0.84887,                0.94086,                0.94025,                 0.9445,                0.71519,                0.51069,                0.58768,                0.48802,                0.88584,               0.001568,               0.001568,               0.001568
                      5,                0.56836,                0.70157,                0.48562,                0.89961,                0.93582,                0.94934,                0.97854,                0.78912,                0.93125,                0.94567,                0.97157,                0.71303,                0.57367,                0.53025,                0.58942,                0.92095,               0.001535,               0.001535,               0.001535
                      6,                 0.5413,                0.68214,                 0.4523,                0.89254,                0.98556,                 0.9866,                0.99437,                0.87511,                0.98455,                0.98558,                 0.9943,                0.73981,                0.45215,                0.53967,                0.37965,                0.85985,               0.001502,               0.001502,               0.001502
                      7,                0.52296,                0.62252,                0.42132,                0.88517,                0.99144,                0.97737,                0.99422,                0.90845,                0.99247,                0.97839,                0.99424,                0.80938,                0.37943,                0.41007,                0.30913,                0.84191,               0.001469,               0.001469,               0.001469
                      8,                0.52213,                0.62059,                 0.4136,                0.89003,                 0.9839,                0.99372,                0.99418,                0.90176,                 0.9839,                0.99372,                0.99418,                0.79091,                0.39514,                0.41256,                0.32493,                0.84313,               0.001436,               0.001436,               0.001436
                      9,                0.50213,                0.61828,                0.39783,                0.88471,                0.97747,                0.97495,                0.99275,                0.91577,                0.97152,                0.96879,                0.98599,                0.76204,                0.36437,                0.47352,                0.31346,                0.82974,              0.0014029,              0.0014029,              0.0014029
                     10,                0.48167,                0.61246,                0.38016,                 0.8768,                0.99061,                0.99274,                0.99473,                0.88915,                0.99081,                0.99268,                0.99471,                0.78553,                0.41083,                0.44638,                 0.2981,                0.83874,              0.0013699,              0.0013699,              0.0013699
                     11,                 0.4711,                0.60094,                0.36845,                0.87568,                0.98109,                0.98226,                 0.9941,                0.92472,                0.97963,                0.98254,                0.99346,                0.79673,                0.35945,                0.41843,                0.29995,                0.83159,              0.0013369,              0.0013369,              0.0013369
                     12,                0.45945,                0.60432,                0.36496,                0.87239,                0.99222,                0.98417,                0.99447,                0.93186,                 0.9902,                0.98213,                0.99369,                0.80281,                 0.3427,                 0.4313,                0.26529,                0.82956,              0.0013039,              0.0013039,              0.0013039
                     13,                0.46297,                0.57228,                 0.3535,                0.87743,                0.98661,                0.99579,                0.99381,                0.91519,                0.98675,                0.99677,                0.99381,                 0.7999,                0.38955,                0.41576,                 0.2737,                  0.832,              0.0012709,              0.0012709,              0.0012709
                     14,                0.45651,                0.58765,                0.34614,                0.87193,                0.99245,                0.99453,                0.99478,                0.93776,                0.99245,                0.99453,                0.99478,                0.82099,                0.33867,                0.39281,                0.25501,                0.82307,              0.0012379,              0.0012379,              0.0012379
                     15,                0.43175,                0.53013,                0.32793,                0.86492,                0.99032,                0.99236,                0.99489,                0.94133,                0.98931,                0.99134,                0.99454,                0.80014,                0.32444,                 0.4006,                0.24498,                0.81986,              0.0012049,              0.0012049,              0.0012049
                     16,                0.44209,                0.54874,                0.33731,                 0.8672,                0.98777,                0.99169,                0.99436,                0.94697,                  0.988,                0.99332,                0.99436,                0.82502,                0.31739,                0.38264,                0.24481,                0.81511,              0.0011719,              0.0011719,              0.0011719
                     17,                0.42322,                0.53787,                0.32356,                0.86621,                0.98837,                0.99206,                0.99484,                0.93942,                0.98837,                0.99206,                0.99484,                0.83165,                0.34207,                0.35718,                0.25879,                0.82263,              0.0011389,              0.0011389,              0.0011389
                     18,                0.43101,                0.53928,                0.32787,                0.86761,                0.98852,                 0.9955,                0.99482,                0.94074,                0.99002,                  0.996,                0.99483,                0.82888,                0.34858,                0.36941,                0.24695,                0.82206,              0.0011059,              0.0011059,              0.0011059
                     19,                0.40926,                0.52086,                0.30808,                 0.8594,                0.99078,                0.99431,                0.99472,                0.92812,                 0.9895,                0.99431,                0.99472,                0.81761,                0.36529,                 0.3747,                 0.2538,                0.84007,              0.0010729,              0.0010729,              0.0010729
                     20,                0.42256,                0.53869,                0.31763,                0.86317,                0.99369,                0.99757,                0.99494,                0.95822,                0.99369,                0.99757,                0.99494,                0.83059,                0.28962,                0.38623,                0.21975,                0.80404,              0.0010399,              0.0010399,              0.0010399
                     21,                0.41346,                0.52683,                0.31018,                0.86626,                0.99579,                0.99263,                0.99492,                0.95364,                0.99639,                0.99126,                0.99492,                0.83427,                0.30257,                0.37231,                0.22636,                0.80777,              0.0010069,              0.0010069,              0.0010069
